number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.4329939506774839,2025-05-06 14:19:16.383568,2025-05-06 14:20:55.610325,0 days 00:01:39.226757,0.7577716989125011,0.009819949603567493,10,614,0.0408026546604674,0.002404090755738899,0.6638781030465046,COMPLETE
35,0.4286350882663748,2025-05-06 14:20:55.614133,2025-05-06 14:21:46.066781,0 days 00:00:50.452648,0.816449541662238,0.02018544626170335,8,709,2.27012680471274,0.25344902173751155,0.5417489744249561,COMPLETE
36,0.46256418342990163,2025-05-06 14:21:46.068010,2025-05-06 14:21:55.752839,0 days 00:00:09.684829,0.7911542157069554,0.017417355455253268,3,840,9.154386647746438,0.004732294661473575,0.5352884421389983,COMPLETE
37,0.4354283869938474,2025-05-06 14:21:55.754173,2025-05-06 14:22:11.132374,0 days 00:00:15.378201,0.8128072530456235,0.062170364851050396,5,695,1.7022571053098607,0.2868284296353027,0.5833481329380468,COMPLETE
38,0.43274579767584587,2025-05-06 14:22:11.133742,2025-05-06 14:24:44.046808,0 days 00:02:32.913066,0.9319927576508014,0.006151937673188035,11,968,2.9885013392911173,0.07395958148436355,0.5460557657393958,COMPLETE
39,0.43107630924949447,2025-05-06 14:24:44.051421,2025-05-06 14:25:22.123472,0 days 00:00:38.072051,0.7574018810665519,0.011721196413110804,7,843,0.36824755511449025,0.3460988958269843,0.643947350440307,COMPLETE
40,0.42881250140067095,2025-05-06 14:25:22.124769,2025-05-06 14:26:01.159089,0 days 00:00:39.034320,0.7526608529115402,0.020175256589164282,7,883,0.5143781493477638,0.3767655778263393,0.6418592399642195,COMPLETE
41,0.42952666053453503,2025-05-06 14:26:01.160400,2025-05-06 14:26:39.384981,0 days 00:00:38.224581,0.7527965805576443,0.020061100939700635,7,838,0.6009097470993113,0.30911957167428744,0.6461594252964242,COMPLETE
42,0.43305208188765043,2025-05-06 14:26:39.386289,2025-05-06 14:27:00.775142,0 days 00:00:21.388853,0.6795781624295544,0.0377378728297519,6,884,4.0471487633465815,0.05398708950520059,0.6374124483538681,COMPLETE
43,0.42865432696279476,2025-05-06 14:27:00.776872,2025-05-06 14:27:40.782288,0 days 00:00:40.005416,0.7434024604499251,0.020457215817240595,7,905,0.7734187225224103,3.016561723225752,0.6850314713625548,COMPLETE
44,0.4291242095190862,2025-05-06 14:27:40.784129,2025-05-06 14:28:17.086042,0 days 00:00:36.301913,0.6554743204551601,0.022223536373125987,7,931,0.15450927189885766,2.589330407147661,0.6229423774627365,COMPLETE
45,0.4361974262869703,2025-05-06 14:28:17.087226,2025-05-06 14:28:28.964932,0 days 00:00:11.877706,0.5084866309328866,0.021671822265752087,5,921,0.20356714321979796,2.9866386468216257,0.6901246364580931,COMPLETE
46,0.4406352704233617,2025-05-06 14:28:28.966194,2025-05-06 14:29:07.010080,0 days 00:00:38.043886,0.6979997464374132,0.047849839209378686,7,992,1.9718508472636445e-08,0.009957771565601098,0.6817181394561905,COMPLETE
47,0.4394246574537018,2025-05-06 14:29:07.011369,2025-05-06 14:29:21.462636,0 days 00:00:14.451267,0.6527852522125075,0.1274211227659059,6,743,7.218825927764163,3.2270774151014607,0.6349634951176838,COMPLETE
48,0.43965038161499964,2025-05-06 14:29:21.463863,2025-05-06 14:29:49.090077,0 days 00:00:27.626214,0.5596421583013799,0.051943709969959534,7,899,0.005547469060890664,0.000640206377465875,0.673351964161509,COMPLETE
49,0.43229839434397566,2025-05-06 14:29:49.091406,2025-05-06 14:30:10.979431,0 days 00:00:21.888025,0.6366920023732786,0.03568559189620416,6,799,2.2171508479773654,0.305489342942522,0.5964813454713888,COMPLETE
